CardName,Set,CardNumber,VariantType,Rarity,Count,IsFoil
Unlimited Power,TWI,156,Normal,Legendary,3,False
Disaffected Senator,TWI,157,Normal,Uncommon,3,False
Clone Heavy Gunner,TWI,158,Normal,Common,3,False
Dendup's Loyalist,TWI,159,Normal,Common,3,False
Vanguard Droid Bomber,TWI,160,Normal,Common,3,False
Bold Recon Commando,TWI,161,Normal,Common,3,False
Reckless Torrent,TWI,162,Normal,Common,3,False
Relentless Rocket Droid,TWI,163,Normal,Common,3,False
Hevy,TWI,164,Normal,Uncommon,3,False
Kit Fisto,TWI,165,Normal,Rare,3,False
Aurra Sing,TWI,166,Normal,Uncommon,3,False
Heavy Persuader Tank,TWI,167,Normal,Common,3,False
Old Access Codes,TWI,168,Normal,Common,3,False
Clone Cohort,TWI,169,Normal,Uncommon,3,False
Grenade Strike,TWI,171,Normal,Common,3,False
Grim Resolve,TWI,172,Normal,Common,3,False
Blood Sport,TWI,173,Normal,Uncommon,3,False
Strategic Analysis,TWI,175,Normal,Common,3,False
Caught in the Crossfire,TWI,176,Normal,Rare,3,False
Guerilla Insurgency,TWI,177,Normal,Rare,3,False
Planetary Invasion,TWI,178,Normal,Legendary,3,False
Soulless One,TWI,179,Normal,Uncommon,3,False
Separatist Commando,TWI,180,Normal,Special,3,False
Elite P-38 Starfighter,TWI,181,Normal,Common,3,False
Infiltrating Demolisher,TWI,182,Normal,Common,3,False
Rush Clovis,TWI,183,Normal,Rare,3,False
Tactical Droid Commander,TWI,184,Normal,Uncommon,3,False
Ziro the Hutt,TWI,185,Normal,Uncommon,3,False
San Hill,TWI,186,Normal,Rare,3,False
Cad Bane,TWI,187,Normal,Legendary,3,False
Wartime Profiteering,TWI,188,Normal,Uncommon,3,False
Unnatural Life,TWI,189,Normal,Rare,3,False
On the Doorstep,TWI,190,Normal,Common,3,False
Wolf Pack Escort,TWI,191,Normal,Common,3,False
Padm? Amidala,TWI,192,Normal,Uncommon,3,False
R2-D2,TWI,193,Normal,Uncommon,3,False
Ahsoka Tano,TWI,194,Normal,Legendary,3,False
Sabine Wren,TWI,195,Normal,Rare,3,False
Plo Koon,TWI,196,Normal,Uncommon,3,False
Republic Attack Pod,TWI,197,Normal,Common,3,False
Enfys Nest,TWI,198,Normal,Rare,3,False
Clear the Field,TWI,199,Normal,Uncommon,3,False
Creative Thinking,TWI,200,Normal,Common,3,False
Aid from the Innocent,TWI,201,Normal,Rare,3,False
Jar Jar Binks,TWI,202,Normal,Uncommon,3,False
Chancellor Palpatine,TWI,203,Normal,Legendary,3,False
Impropriety Among Thieves,TWI,204,Normal,Rare,3,False
Clone Dive Trooper,TWI,205,Normal,Common,3,False
Independent Senator,TWI,206,Normal,Uncommon,3,False
B1 Security Team,TWI,207,Normal,Common,3,False
Favorable Delegate,TWI,208,Normal,Common,3,False
Hotshot V-Wing,TWI,209,Normal,Common,3,False
Lux Bonteri,TWI,210,Normal,Common,3,False
Sly Moore,TWI,211,Normal,Rare,3,False
Freelance Assassin,TWI,212,Normal,Common,3,False
Sanctioner's Shuttle,TWI,213,Normal,Uncommon,3,False
Hidden Sharpshooter,TWI,214,Normal,Common,3,False
Geonosis Patrol Fighter,TWI,215,Normal,Common,3,False
Fives,TWI,216,Normal,Rare,3,False
Tri-Droid Suppressor,TWI,217,Normal,Common,3,False
Droid Cohort,TWI,218,Normal,Common,3,False
On Top of Things,TWI,219,Normal,Uncommon,3,False
Shadowed Intentions,TWI,220,Normal,Rare,3,False
In Pursuit,TWI,221,Normal,Common,3,False
Political Pressure,TWI,222,Normal,Common,3,False
Unmasking the Conspiracy,TWI,223,Normal,Rare,3,False
Breaking In,TWI,224,Normal,Common,3,False
Now There Are Two of Them,TWI,225,Normal,Legendary,3,False
Prisoner of War,TWI,227,Normal,Uncommon,3,False
Droid Starfighter,TWI,228,Normal,Common,3,False
Battle Droid Escort,TWI,229,Normal,Special,3,False
Super Battle Droid,TWI,230,Normal,Common,3,False
Dwarf Spider Droid,TWI,231,Normal,Common,3,False
Patrolling AAT,TWI,232,Normal,Common,3,False
Hailfire Tank,TWI,233,Normal,Common,3,False
The Invisible Hand,TWI,234,Normal,Rare,3,False
Battle Droid Legion,TWI,235,Normal,Uncommon,3,False
Griveous's Wheel BIke,TWI,236,Normal,Special,3,False
Droid Deployment,TWI,237,Normal,Common,3,False
Merciless Contest,TWI,238,Normal,Common,3,False
Execute Order 66,TWI,239,Normal,Rare,3,False
332nd Stalwart,TWI,240,Normal,Special,3,False
Phase I Clone Trooper,TWI,241,Normal,Common,3,False
Phase II Clone Trooper,TWI,242,Normal,Common,3,False
Republic Commando,TWI,243,Normal,Common,3,False
Eta-2 Light Interceptor,TWI,244,Normal,Common,3,False
Armored Saber Tank,TWI,245,Normal,Common,3,False
Tranquility,TWI,246,Normal,Rare,3,False
AT-TE Vanguard,TWI,247,Normal,Uncommon,3,False
Ahsoka's Padawan Lightsaber,TWI,248,Normal,Special,3,False
Heroes on Both Sides,TWI,249,Normal,Common,3,False
Sword and Shield Maneuver,TWI,250,Normal,Uncommon,3,False
Drop In,TWI,251,Normal,Common,3,False
Aggrieved Parliamentarian,TWI,252,Normal,Common,3,False
Headhunter Squadron,TWI,253,Normal,Common,3,False
Brain Invaders,TWI,255,Normal,Rare,3,False
Hold-Out Blaster,TWI,256,Normal,Common,3,False
Private Manufacturing,TWI,257,Normal,Uncommon,3,False
Warrior Drone,TWI,330,Normal,Common,3,False
Padawan Starfighter,TWI,331,Normal,Common,3,False
Royal Guard Attach?,TWI,332,Normal,Common,3,False
Trade Federation Shuttle,TWI,333,Normal,Common,3,False
Infantry of the 212th,TWI,334,Normal,Common,3,False
Daughter of Dathomir,TWI,335,Normal,Common,3,False
Vulture Interceptor Wing,TWI,336,Normal,Uncommon,3,False
Shaak Ti,TWI,366,Normal,Uncommon,3,False
Bo-Katan Kryze,TWI,398,Normal,Rare,3,False
