CardName,Set,CardNumber,VariantType,Rarity,Count,IsFoil
Rule with Respect,SHD,106,Normal,Legendary,3,False
Enterprising Lackeys,SHD,107,Normal,Rare,3,False
Enforced Loyalty,SHD,108,Normal,Uncommon,3,False
Endless Legions,SHD,109,Normal,Legendary,3,False
Warzone Lieutenant,SHD,110,Normal,Common,3,False
Collections Starhopper,SHD,111,Normal,Common,3,False
Gamorrean Retainer,SHD,112,Normal,Common,3,False
Privateer Crew,SHD,113,Normal,Uncommon,3,False
Scanning Officer,SHD,114,Normal,Uncommon,3,False
Cobb Vanth,SHD,115,Normal,Rare,3,False
Outlaw Corona,SHD,116,Normal,Common,3,False
Reputable Hunter,SHD,117,Normal,Common,3,False
Kihraxz Heavy Fighter,SHD,118,Normal,Uncommon,3,False
Weequay Pirate Gang,SHD,119,Normal,Common,3,False
Discerning Veteran,SHD,120,Normal,Common,3,False
Mercenary Company,SHD,121,Normal,Common,3,False
Arquitens Assault Cruiser,SHD,122,Normal,Rare,3,False
Bounty Hunter's Quarry,SHD,123,Normal,Uncommon,3,False
Legal Authority,SHD,124,Normal,Rare,3,False
Price on Your Head,SHD,125,Normal,Common,3,False
The Darksaber,SHD,126,Normal,Legendary,3,False
Commission,SHD,127,Normal,Uncommon,3,False
Outflank,SHD,128,Normal,Common,3,False
Timely Intervention,SHD,129,Normal,Common,3,False
Moment of Glory,SHD,130,Normal,Common,3,False
Take Captive,SHD,131,Normal,Common,3,False
Choose Sides,SHD,132,Normal,Rare,3,False
Dengar,SHD,133,Normal,Uncommon,3,False
Guavian Antagonizer,SHD,134,Normal,Common,3,False
Kylo's TIE Silencer,SHD,135,Normal,Legendary,3,False
Death Watch Loyalist,SHD,136,Normal,Common,3,False
Punishing One,SHD,137,Normal,Uncommon,3,False
Jango Fett,SHD,138,Normal,Rare,3,False
Krrsantan,SHD,139,Normal,Uncommon,3,False
Trandoshan Hunters,SHD,140,Normal,Common,3,False
Kylo Ren,SHD,141,Normal,Legendary,3,False
Pre Vizsla,SHD,142,Normal,Rare,3,False
Ruthlessness,SHD,143,Normal,Rare,3,False
Give In to Your Anger,SHD,144,Normal,Rare,3,False
Headhunting,SHD,145,Normal,Uncommon,3,False
Heroic Renegade,SHD,146,Normal,Common,3,False
Ketsu Onyo,SHD,147,Normal,Uncommon,3,False
Cassian Andor,SHD,148,Normal,Uncommon,3,False
Nite Owl Skirmisher,SHD,149,Normal,Common,3,False
Koska Reeves,SHD,150,Normal,Rare,3,False
Valiant Assault Ship,SHD,151,Normal,Uncommon,3,False
Desperado Freighter,SHD,152,Normal,Common,3,False
Poe Dameron,SHD,153,Normal,Legendary,3,False
Wrecker,SHD,154,Normal,Rare,3,False
Heroic Resolve,SHD,155,Normal,Rare,3,False
Cripple Authority,SHD,156,Normal,Uncommon,3,False
Bo-Katan Kryze,SHD,157,Normal,Uncommon,3,False
Wild Rancor,SHD,158,Normal,Rare,3,False
The Chaos of War,SHD,159,Normal,Rare,3,False
Reckless Gunslinger,SHD,160,Normal,Common,3,False
Stolen Landspeeder,SHD,161,Normal,Rare,3,False
House Kast Soldier,SHD,162,Normal,Common,3,False
Migs Mayfeld,SHD,163,Normal,Rare,3,False
Rhokai Gunship,SHD,164,Normal,Common,3,False
Unlicensed Headhunter,SHD,165,Normal,Uncommon,3,False
Disabling Fang Fighter,SHD,166,Normal,Common,3,False
Wanted Insurgents,SHD,167,Normal,Common,3,False
Hunting Nexu,SHD,168,Normal,Common,3,False
Clan Challengers,SHD,169,Normal,Common,3,False
IG-11,SHD,170,Normal,Uncommon,3,False
Covetous Rivals,SHD,171,Normal,Common,3,False
Krayt Dragon,SHD,172,Normal,Legendary,3,False
Guild Target,SHD,173,Normal,Uncommon,3,False
Hotshot DL-44 Blaster,SHD,174,Normal,Rare,3,False
Armed to the Teeth,SHD,175,Normal,Uncommon,3,False
Death Mark,SHD,176,Normal,Common,3,False
Vambrace Flamethrower,SHD,177,Normal,Rare,3,False
Daring Raid,SHD,178,Normal,Common,3,False
Desperate Attack,SHD,179,Normal,Common,3,False
Detention Block Rescue,SHD,180,Normal,Common,3,False
Pillage,SHD,181,Normal,Common,3,False
Bravado,SHD,182,Normal,Uncommon,3,False
Kintan Intimidator,SHD,183,Normal,Common,3,False
Bazine Netal,SHD,184,Normal,Rare,3,False
Doctor Evazan,SHD,185,Normal,Rare,3,False
Hunter of the Haxion Brood,SHD,186,Normal,Common,3,False
Lurking TIE Phantom,SHD,187,Normal,Uncommon,3,False
4-LOM,SHD,188,Normal,Uncommon,3,False
Slaver's Freighter,SHD,189,Normal,Common,3,False
Zuckuss,SHD,190,Normal,Uncommon,3,False
Xanadu Blood,SHD,191,Normal,Rare,3,False
Dryden Vos,SHD,192,Normal,Legendary,3,False
Frozen in Carbonite,SHD,193,Normal,Uncommon,3,False
Triple Dark Raid,SHD,194,Normal,Rare,3,False
Cartel Turncoat,SHD,195,Normal,Common,3,False
Grogu,SHD,196,Normal,Special,3,False
L3-37,SHD,197,Normal,Uncommon,3,False
Omega,SHD,198,Normal,Rare,3,False
Coruscant Dissident,SHD,199,Normal,Uncommon,3,False
Liberated Slaves,SHD,200,Normal,Common,3,False
Principled Outlaw,SHD,201,Normal,Common,3,False
Qi'ra,SHD,202,Normal,Rare,3,False
Zorii Bliss,SHD,203,Normal,Rare,3,False
Millennium Falcon,SHD,204,Normal,Uncommon,3,False
Let the Wookiee Win,SHD,205,Normal,Rare,3,False
Spare the Target,SHD,206,Normal,Uncommon,3,False
A New Adventure,SHD,207,Normal,Uncommon,3,False
Final Showdown,SHD,208,Normal,Legendary,3,False
Criminal Muscle,SHD,209,Normal,Common,3,False
Cloud-Rider,SHD,210,Normal,Common,3,False
Fugitive Wookiee,SHD,211,Normal,Common,3,False
Privateer Scyk,SHD,212,Normal,Common,3,False
DJ,SHD,213,Normal,Legendary,3,False
Frontier Trader,SHD,214,Normal,Common,3,False
Smuggler's Starfighter,SHD,215,Normal,Common,3,False
Chain Code Collector,SHD,216,Normal,Common,3,False
Tobias Beckett,SHD,217,Normal,Rare,3,False
Resourceful Pursuers,SHD,218,Normal,Common,3,False
Enfys Nest,SHD,219,Normal,Uncommon,3,False
Fennec Shand,SHD,220,Normal,Uncommon,3,False
Wanted,SHD,221,Normal,Common,3,False
Enticing Reward,SHD,222,Normal,Uncommon,3,False
Snapshot Reflexes,SHD,223,Normal,Special,3,False
Boba Fett's Armor,SHD,224,Normal,Rare,3,False
Jetpack,SHD,225,Normal,Uncommon,3,False
Unrefusable Offer,SHD,226,Normal,Rare,3,False
Look the Other Way,SHD,227,Normal,Common,3,False
Bounty Posting,SHD,228,Normal,Uncommon,3,False
Ma Klounkee,SHD,229,Normal,Common,3,False
Swoop Down,SHD,230,Normal,Rare,3,False
Surprise Strike,SHD,231,Normal,Common,3,False
Relentless Pursuit,SHD,232,Normal,Common,3,False
Evacuate,SHD,233,Normal,Legendary,3,False
Incinerator Trooper,SHD,234,Normal,Special,3,False
Ruthless Assassin,SHD,235,Normal,Common,3,False
Snowtrooper Lieutenant,SHD,236,Normal,Special,3,False
Black Sun Starfighter,SHD,237,Normal,Common,3,False
Cell Block Guard,SHD,238,Normal,Special,3,False
Toro Calican,SHD,239,Normal,Uncommon,3,False
Hutt's Henchmen,SHD,240,Normal,Common,3,False
Kragan Gorr,SHD,241,Normal,Rare,3,False
Gideon's Light Cruiser,SHD,242,Normal,Special,3,False
Altering the Deal,SHD,243,Normal,Rare,3,False
No Bargain,SHD,244,Normal,Common,3,False
Greef Karga,SHD,245,Normal,Special,3,False
Grey Squadron Y-Wing,SHD,246,Normal,Common,3,False
Protector of the Throne,SHD,247,Normal,Common,3,False
Tech,SHD,248,Normal,Rare,3,False
Wookiee Warrior,SHD,249,Normal,Common,3,False
Tarfful,SHD,250,Normal,Rare,3,False
The Mandalorian's Rifle,SHD,251,Normal,Special,3,False
Smuggler's Aid,SHD,252,Normal,Common,3,False
This Is The Way,SHD,253,Normal,Uncommon,3,False
Bounty Guild Initiate,SHD,254,Normal,Common,3,False
Lady Proxima,SHD,255,Normal,Uncommon,3,False
Mercenary Gunship,SHD,256,Normal,Uncommon,3,False
Underworld Thug,SHD,257,Normal,Common,3,False
Mandalorian Warrior,SHD,258,Normal,Common,3,False
Twin Pod Cloud Car,SHD,259,Normal,Common,3,False
Street Gang Recruiter,SHD,260,Normal,Common,3,False
Rich Reward,SHD,261,Normal,Common,3,False
Confiscate,SHD,262,Normal,Special,3,False
